PINCODE,Lat,Long
110001.0,28.6328,77.2198
110002.0,28.6352202,77.2468858
110003.0,28.5916468,77.2317863
110004.0,28.6141527,77.1959622
110005.0,28.6556793,77.1874601
110006.0,28.6610779,77.2345881
110007.0,28.6785828,77.19158399999998
110008.0,28.6482162,77.1640718
110009.0,28.7108654,77.2031493
110010.0,28.59292970000001,77.1218197
110011.0,28.604077,77.2116108
110012.0,28.6282145,77.14939040000002
110013.0,28.5891197,77.2568426
110014.0,28.5792764,77.2584768
110015.0,28.6589251,77.14576140000001
110016.0,28.5471702,77.2002745
110017.0,28.5279118,77.2088987
110018.0,28.6436082,77.0869837
110019.0,28.5346916,77.26017420000002
110020.0,28.5388479,77.2753728
110021.0,28.5883628,77.1859069
110022.0,28.56405800000001,77.1736968
110023.0,28.5748119,77.199129
110024.0,28.56837860000001,77.24164640000002
110025.0,28.562147,77.285702
110026.0,28.6683157,77.13654040000002
110027.0,28.6464731,77.1169452
110028.0,28.631833,77.1387588
110029.0,28.5647191,77.20032359999998
110030.0,28.4956835,77.1664945
110031.0,28.6508353,77.267595
110032.0,28.6865527,77.2922157
110033.0,28.7235555,77.1756757
110034.0,28.693044300000004,77.1350949
110035.0,28.6738274,77.16425840000002
110036.0,28.8222004,77.1718134
110037.0,28.5441475,77.1159808
110038.0,28.5132203,77.109319
110039.0,28.8001581,77.03548520000002
110040.0,28.834898,77.0898784
110041.0,28.6696613,77.0568756
110042.0,28.750584600000003,77.1419808
110043.0,28.611665,76.978678
110044.0,28.5006897,77.3152116
110045.0,28.596588399999995,77.082604
110046.0,28.6040739,77.0979509
110047.0,28.4717584,77.1315321
110048.0,28.54786,77.23764140000002
110049.0,28.5623635,77.223073
110050.0,28.5623635,77.223073
110051.0,28.6569035,77.2822923
110052.0,28.689477,77.1754088
110053.0,28.6756862,77.25963370000002
110054.0,28.6903983,77.22753940000003
110055.0,28.645567,77.21109720000003
110056.0,28.6812362,77.12110679999998
110057.0,28.5616397,77.1558839
110058.0,28.621742600000005,77.0882695
110059.0,28.6217627,77.0558233
110060.0,28.6354261,77.1856762
110061.0,28.5350902,77.05655209999998
110062.0,28.5099937,77.2354845
110063.0,28.66987910000001,77.10691640000002
110064.0,28.6258689,77.11425770000002
110065.0,28.567812300000003,77.26164729999998
110066.0,28.567447,77.1873371
110067.0,28.543301,77.1682675
110068.0,28.4820159,77.2170731
110069.0,28.6096772,77.2279415
110070.0,28.5124389,77.1370115
110071.0,28.5613397,77.0020877
110072.0,28.68377760000001,76.9709282
110073.0,28.5709305,76.9058293
110074.0,28.4550173,77.1837006
110075.0,28.5899848,77.0443796
110076.0,28.531953,77.2958536
110077.0,28.5709904,77.07184079999998
110078.0,28.6102254,77.0300594
110079.0,28.5998515,77.048926
110080.0,28.4965582,77.2386309
110081.0,28.7343765,77.0110492
110082.0,28.7762372,77.10016259999998
110083.0,28.6925257,77.0884449
110084.0,28.7578821,77.19975600000002
110085.0,28.7153451,77.1088008
110086.0,28.7019847,77.0788689
110087.0,28.6703213,77.0857675
110088.0,28.7122105,77.1590304
110089.0,28.7358942,77.1286829
110090.0,28.5488154,77.253805
110091.0,28.6078909,77.3054884
110092.0,28.6362211,77.2922332
110093.0,28.6974374,77.3156292
110094.0,28.7156702,77.277957
110095.0,28.6761864,77.3159348
110096.0,28.595324600000005,77.3118642
110097.0,28.5266528,77.07915140000001
110098.0,28.5266528,77.07915140000001
110100.0,28.62623,77.21808
110101.0,28.62623,77.21808
110102.0,28.62623,77.21808
110103.0,28.62624000000001,77.21808
110104.0,28.62623,77.21807
110105.0,28.62622,77.21808
110106.0,28.62623,77.61806
110107.0,28.62633,77.21808
110108.0,28.682696000000004,77.20634
110109.0,28.682696000000004,77.20634
110110.0,28.682696000000004,77.20634
110112.0,28.682696000000004,77.20634
110113.0,28.682696000000004,77.20634
110114.0,28.682696000000004,77.20634
110115.0,28.682696000000004,77.20634
110116.0,28.682696000000004,77.20634
110117.0,28.682696000000004,77.20634
110118.0,28.682696000000004,77.20634
110119.0,28.62623,77.21808
110120.0,28.62623,77.21808
110122.0,28.62623,77.21808
110124.0,28.62623,77.21808
110125.0,28.62623,77.21808
110301.0,28.62623,77.21808
110302.0,28.62623,77.21808
110401.0,28.62623,77.21808
110402.0,28.62623,77.21808
110403.0,28.62623,77.21808
110501.0,28.62623,77.21808
110502.0,28.62623,77.21808
110503.0,28.62623,77.21808
110504.0,28.62623,77.21808
110505.0,28.62623,77.21808
110506.0,28.63279480000001,77.2197052
110507.0,28.63279480000001,77.2197052
